skillid,skillname,category,reviewer,star,title,date,content
B01JFUHN0K,School Menus By Nutrislice,Local,Jeff Benjamin,2.0 out of 5 stars,Multiple schools and school names which are the same as the district name are impossible.,"Reviewed in the United States on December 4, 2016","Very difficult with names of schools that are not common easily said words. Name of school must match the name perfectly as listed, by the app or listed on the sight.More than one school can be listed, but the app exits after one listing, so you must reenter the app to get the next school.Impossible to get a menu from a school which the name of the school is also the district. Example: District name: Oakdale Area School District. Name of school Oakdale Area High School. You ask for ""Lunch tomorrow Oakdale Area High School"" - Alexa responds ""No school available called 'Area High School' in the district of Oakdale Area - For a list of schools ...."" When you are using more than one school, you have to state the each school name. In my case - options are to set you main school as the one that is difficult to say or the one she can not find because the school name is part of the district name.The developers made it so you can list any school at anytime. But that ,makes it more than difficult to get the wording perfect. Maybe more than one school could be kept, then lunch for all could be listed? Maybe short names could be used, why use the complete name of Oakdale Area High School, she knows the district you are in, if only one High School, just use ""High School"" - the app gets confused when the district and the school name are the same.I gave it my best shot, but needing to know three different school menus is more than difficult with this app. Paper copies will remain as the first choice for us. 10 minutes to maybe get three lunch menus verses a quick look at the printed menus - not a tough choice for our family.It is a neat thought, but not for a family with more than one school."
B01JFUHN0K,School Menus By Nutrislice,Local,John R. Sutton,3.0 out of 5 stars,Clunky but not bad,"Reviewed in the United States on March 9, 2018","I can set a default school. And that’s great. But when you have kids in two schools in the same district, it’s not all that flexible. Consider allowing this to be configurable for a profile. Once a school is identify for a profile the prompt could be “What is for lunch tomorrow [Profilename]. My kids would love to ask for themselves."
B01JFUHN0K,School Menus By Nutrislice,Local,Sarah,1.0 out of 5 stars,Worthless,"Reviewed in the United States on August 14, 2018",App doesn't find our district no matter how is said. Awful
B01JFUHN0K,School Menus By Nutrislice,Local,Sward252,1.0 out of 5 stars,Difficult set up for unique school names,"Reviewed in the United States on November 5, 2019","It took me nearly 20 minutes to get Alexa to recognize my school name.  She was mispronouncing the name, and wouldn’t recognize it unless I mispronounced it as well.  Once I got her to recognize the school, she wanted me to ask what was for lunch by the name of the lunchroom’s cafe name.  After ten minutes of trying to get her to recognize that, I gave up.  I agree with other posters that an online app to get it all set up would be very helpful."
B01JFUHN0K,School Menus By Nutrislice,Local,Candace Cooledge,3.0 out of 5 stars,Spelling,"Reviewed in the United States on January 25, 2017","It was very frustrating, as Alexa pronounced our school name wrong (easy name) and wouldn't recognize it no matter how we said it (correctly or incorrectly to match how she said it when she listed all of the available schools).  What finally worked was to say ""my school is"" and then SPELL the school name.  BINGO!  She recognized it.  Hope this helps others with the same problem!"
B01JFUHN0K,School Menus By Nutrislice,Local,Amazon Customer,1.0 out of 5 stars,App SUCKS!!,"Reviewed in the United States on August 12, 2018",Need to rework skill. Does not recognize my school district. Spend 20 minutes and a 100 different ways of saying school district.
B01JFUHN0K,School Menus By Nutrislice,Local,Kelly C,1.0 out of 5 stars,Doesn't work,"Reviewed in the United States on August 28, 2018",Couldn't find district after 20 minutes. Needs to have a manual input.
B01JFUHN0K,School Menus By Nutrislice,Local,James O'Conor,4.0 out of 5 stars,Difficult to set up,"Reviewed in the United States on May 3, 2018","I tried saying my school name different ways for 20 minutes and it won’t recognize it. Maybe narrow it down by state and county first. Manual input would be nice. Or ask a series of questions to narrow down the search.Edit: I did get it set up, there is no way to change the school district. I disabled the skill and re enabled it. Now that I have it installed, the skill does ramble. It should tell you the main course and ask if you want to hear more."
B01JFUHN0K,School Menus By Nutrislice,Local,slamb05,1.0 out of 5 stars,Not consistent,"Reviewed in the United States on May 1, 2018","I’ve had this app working before. Something happened so i disabled it and now i can’t get it working again. I never had to tell it my school district. I believe it gathered that information based on my location. When I told it my district, it can’t find it. very frustrating this worked one day and now it won’t at all."
B01JFUHN0K,School Menus By Nutrislice,Local,April,1.0 out of 5 stars,Alexa isn't smart enough for this to work,"Reviewed in the United States on November 20, 2019","I found my district fine, but the school was another matter entirely. My school was in the list of available schools that Alexa read to me, but when I say, ""My school is ______."" she responds with, ""I couldn't find ______."" - the exact name that she just read off to me from the list of available schools.It's a good idea, but the execution is just a mess."
