skillid,skillname,category,reviewer,star,title,date,content
B07JGB7M5K,My Kids Are Animals!,Kids,R Church,1.0 out of 5 stars,terrible,"Reviewed in the United States on February 13, 2020",just wanted Alexa to play a cow sounds for my daughter. she insisted on this infuriating skill. nothing about it works smoothly. makes me want to chuck my Alexa out the window
B07FTLRLY7,Teach Me,Kids,Kritika,5.0 out of 5 stars,Learning just became so much fun!,"Reviewed in the United States on July 24, 2018",I have a 3 year niece! Teaching her rhymes was a task. But Alexa made it so easy for me. Thankyou for making learning so much fun.Great job!
B07FTLRLY7,Teach Me,Kids,Suyash Shetty,5.0 out of 5 stars,... only just started speaking but she's been having a good time mumbling along with the rhymes,"Reviewed in the United States on July 24, 2018",I have an 18 month old niece and she has only just started speaking but she's been having a good time mumbling along with the rhymes. Love this!
B07FTLRLY7,Teach Me,Kids,Oco,1.0 out of 5 stars,Word by word including spelling,"Reviewed in the United States on July 25, 2018",With alexa voice
B094DQLS8J,Bamboo Learning,Kids,Kelly,5.0 out of 5 stars,Fun learning experience for kids!,"Reviewed in the United States on July 1, 2021","My kids love Bamboo Learning! It's a fun change for the kids to learn using voice, which also builds listening comprehension skills. I highly recommend this for any parent who is looking for new and creative ways to get your kids to have fun while learning!"
B094DQLS8J,Bamboo Learning,Kids,QuestionSwami,5.0 out of 5 stars,Bamboo Learning makes it fun to practice math,"Reviewed in the United States on July 5, 2021","It’s a great way to do some math drills to encourage being able to do math in your head. We do this before dinner, it’s so convenient and the app makes it super fun."
B094DQLS8J,Bamboo Learning,Kids,Patrick Dylan Zwick,5.0 out of 5 stars,The best Alexa skill for kids learning at home,"Reviewed in the United States on July 27, 2021","This is a fantastic skill, and really takes advantage of what Alexa and voice can offer for kids learning at home. Kids love playing with their voice devices, and this skill takes advantage of that by (yes, I know it's cliché) making learning fun.Cannot recommend this skill highly enough."
B094DQLS8J,Bamboo Learning,Kids,Amazon Customer,5.0 out of 5 stars,A fun way to engage kids!,"Reviewed in the United States on May 14, 2021",This skill is great for kids who are auditory learners and is a great way to infuse some fun into our homeschooling program. I really enjoy the books and the Math portion of Bamboo learning. Great product!
B094DQLS8J,Bamboo Learning,Kids,S. J. Roberson,5.0 out of 5 stars,This is a fantastic educational tool,"Reviewed in the United States on July 2, 2021","I tested this product for part of my job and it is amazing. Even as an adult I enjoyed the feedback when I answered questions - right or wrong. The work is grade-level appropriate, the images on my screen Alexa were clear and easy to watch, and the overall product is really engaging."
B094DQLS8J,Bamboo Learning,Kids,Dana S,5.0 out of 5 stars,Best Parent -Helper around!,"Reviewed in the United States on July 1, 2021",This is a great tool!  Your kids can listen to stories or get help with math homework  or learn about some of the great luminaries of our time  while you are working. Best mothers helper out there.
B094DQLS8J,Bamboo Learning,Kids,Sarah,5.0 out of 5 stars,Great learning for young kids!,"Reviewed in the United States on July 10, 2021",Kids love the Panda and Bamboo Learning. It is great that it is free-of-charge for the basic version and includes millions of activities in key learning areas. We will surely get the paid subscription asap.
B094DQLS8J,Bamboo Learning,Kids,AFB,5.0 out of 5 stars,Learning With Your Voice - Extremely Fun & Engaging!,"Reviewed in the United States on June 25, 2021","My almost 9-year old LOVES Bamboo Learning! He opens up the Alexa skills app regularly and just takes off from there. Bamboo Math and Bamboo Books are currently his favorites, but he's tried them all and says, ""They're all GREAT, Mommy!!"" What a terrific way to engage young learners! I'm telling all my friends about this one - for sure!"
B094DQLS8J,Bamboo Learning,Kids,My Tam,5.0 out of 5 stars,"Great user interface, friendly for kids, and fun for adults to listen into","Reviewed in the United States on July 3, 2021","Appreciate the options for learning combined with visuals, and music. Great selection of grades and variety to choose from. The ""elephant"" and ""panda"" characters make it relatable and easy to follow along with.  Highly recommend!"
B094DQLS8J,Bamboo Learning,Kids,Amazon Customer,5.0 out of 5 stars,Highly effective educational tool,"Reviewed in the United States on July 6, 2021","I strongly encourage parents to look at the Bamboo Learning portfolio.  These programs are designed to enhance learning for young adults, using an approach that stimulates while it teaches.  This system encourages young learners in a way that many systems miss.  I highly recommend these programs!"
B094DQLS8J,Bamboo Learning,Kids,Oakley,5.0 out of 5 stars,Fun and challenging,"Reviewed in the United States on July 5, 2021",Our four and six year old girls love bamboo math it's just the right combination of fun challenging. Keep up the great work!
